id,sex,gen,phe1,phe2
DO345,F,21,-4.11056357401436,70.7684259392865
DO105,M,16,78.3262884678269,-112.564886350899
DO238,F,19,-60.6858141241294,75.9002556475941
DO475,F,22,-50.010028526717,-7.0491140375678
DO523,M,22,63.4771187357786,75.9458146997293
DO089,M,16,203.046817273668,-54.6368328448783
DO339,F,21,213.290168251522,68.9608287143418
DO276,M,19,-111.204425118698,9.31186330996074
DO050,F,16,181.05462135705,75.7803040045438
DO325,F,21,24.8269557191874,-53.4477973613933
DO076,M,16,314.631192814349,-67.9303154924252
DO257,F,19,50.6481695814798,-13.0691038851273
DO193,M,18,71.1161248403071,238.9588557554
DO275,M,19,-14.9128165446319,113.889522168728
DO097,M,16,-3.67675518057295,125.728270861
DO130,F,18,129.803375447858,60.696476734789
DO233,F,19,216.755801895678,210.508777512468
DO059,F,16,295.971378800651,163.469913629209
DO465,F,22,301.841946779463,35.8732783396831
DO281,M,19,57.5651547385971,6.32566394104483
DO484,F,22,121.591651589182,24.897270293856
DO029,F,16,-34.3788330956827,79.7794057734909
DO075,M,16,126.97991887778,-3.38961811100793
DO184,M,18,128.462578237529,-114.6420410915
DO161,F,18,-91.2335696878263,27.225535571368
DO509,F,22,128.889774204109,8.92668302434093
DO264,F,19,87.2610219236585,-24.2597317313067
DO515,M,22,325.448858491511,34.5720365013674
DO122,F,18,185.37613438848,80.5880402204649
DO159,F,18,147.045476275565,49.6045037310246
DO182,M,18,65.5042945925991,-72.4697576478456
DO466,F,22,-24.3413785751389,54.5833014336473
DO472,F,22,-135.716038812449,-32.3651343890299
DO267,F,19,253.337735549391,105.721961713018
DO545,M,22,102.813714277683,-14.8476723007099
DO379,M,21,218.954316147827,-119.791135896767
DO195,M,18,62.4497185536953,171.687314870873
DO410,M,21,284.046836860195,76.4526390585528
DO376,M,21,261.783687176092,235.118260776815
DO524,M,22,155.768167387005,33.203033599689
DO534,M,22,63.3575498297629,79.9624304536258
DO382,M,21,237.666634593101,76.2578417878778
DO313,M,19,206.801549773777,13.2544673470589
DO260,F,19,259.299878950426,127.174452914961
DO393,M,21,255.504784665953,-51.4533029580308
DO031,F,16,-23.259445302043,11.3958708162309
DO330,F,21,173.070993367496,52.5716502683181
DO322,F,21,91.5759359435144,-62.1407224410202
DO137,F,18,103.653111726335,87.3839797859063
DO234,F,19,104.772829992808,117.332777040783
DO083,M,16,201.253833116375,-5.08359118759793
DO502,F,22,-21.9615928439015,29.6550135406336
DO311,M,19,130.743556657494,100.911550018468
DO136,F,18,46.5330466719017,32.9384182303274
DO511,M,22,205.945799309522,84.7906253721394
DO224,F,19,121.143813661302,-81.2898124397126
DO093,M,16,2.80734613909556,178.500823231912
DO510,F,22,156.248534971501,42.1418670548306
DO474,F,22,121.910885196145,73.4522657348901
DO508,F,22,-53.5484938241858,84.285333131328
DO336,F,21,198.364206650475,-36.4581519410516
DO078,M,16,-28.7322640853599,180.245681312468
DO027,F,16,166.490458297285,109.479601585147
DO499,F,22,19.6658936228906,148.756186241046
DO270,F,19,33.3629012829775,89.1483458699023
DO297,M,19,-4.44264166608914,98.4278673013462
DO541,M,22,-83.0708784383182,216.058664278408
DO181,M,18,-110.018738055535,22.2789956980867
DO491,F,22,93.4964616826501,-29.0201852032277
DO555,M,22,5.00991740101915,109.944593061269
DO230,F,19,172.724824994986,26.0759391962377
DO151,F,18,179.948327455951,25.0785162692222
DO038,F,16,177.574362750786,55.1441688398219
DO150,F,18,92.1138039453468,-9.92974081889198
DO175,M,18,258.290084253409,104.655109742758
DO549,M,22,-38.5967361175211,-80.931419326106
DO277,M,19,-0.172930971655873,111.403318495444
DO505,F,22,230.857731815774,38.1435485926379
DO522,M,22,238.627375360032,38.698538758042
DO111,M,16,38.9177000548239,-43.1678155204503
DO118,M,16,240.290463010967,29.804774650826
DO374,M,21,226.983000604878,66.2342349950341
DO321,F,21,115.489397636261,84.5910094596883
DO057,F,16,250.77402467811,55.0403494847362
DO235,F,19,-3.01854034140005,6.1617164253536
DO556,M,22,163.766809188358,8.27563307726591
DO133,F,18,-10.9907610272671,105.563816686224
DO149,F,18,164.595725710615,54.9800083076094
DO250,F,19,227.713697214398,-92.1646181036036
DO204,M,18,281.201641339934,-50.9236466956996
DO320,M,19,256.715479205455,110.478662689112
DO519,M,22,140.947965934537,-31.7287052608229
DO544,M,22,-24.3345723599739,69.5409999058316
DO110,M,16,76.0163313892302,63.8552153974161
DO380,M,21,139.336329992848,111.576727490621
DO170,F,18,70.9181914953174,21.1686638522227
DO525,M,22,232.33305726995,31.7529945446354
DO109,M,16,44.2727263010824,99.4062727207398
DO225,F,19,38.8820735286705,45.9069161763012
DO261,F,19,172.27185088899,194.098755172213
